centers_mod_1	centers_mod_2	radii_mod
-24.9430766114251	-20.8221795356583	1
-33.2438215445061	-94.050482543463	1
68.3969706803735	68.3234060016959	1
48.8199496437381	-82.6102857183558	1
-71.351655355721	-6.32282550649744	1
-35.3174331401218	32.4610673374857	1
-43.8586793090833	96.9456213293909	1
77.6939696993923	91.0053793956674	1
-34.5450638379065	38.8150326783045	1
9.30828245977651	25.5784649390917	1
12.8605672018169	51.9567732671157	1
49.1428090509098	-78.3275137216113	1
14.8383993418382	60.6868063768316	1
-37.224791385126	78.8818317345098	1
63.156215828374	76.2037037101815	1
-61.3196561686968	-79.3759177316991	1
-12.2485581551853	-74.0905838602115	1
86.0571322794515	12.640492258103	1
96.4036868806531	84.887260127025	1
6.82200574531117	-32.1728312340084	1
69.0294764225618	80.7975820299815	1
-27.4961209153599	-83.0416229753463	1
82.7161018334452	11.2364251696211	1
-29.7524556733152	-16.3414780819421	1
-65.22279201691	-27.0323708676077	1
1.61890262156648	-32.2013799262283	1
49.6997178733523	44.091320948336	1
-27.729656463643	-39.1793778244557	1
77.9967511245278	15.0586385401463	1
61.9873783851348	51.5331771807149	1
9.39618391325364	-7.18583558119936	1
-87.4720453157404	-44.9087446307985	1
19.8570323486078	-93.6280098636905	1
72.9790435499674	-6.30730987983357	1
-46.6274908093014	3.89576298488632	1
21.1785285114237	33.8792992866526	1
7.10835596503196	-63.8131128577053	1
-12.2534007649237	-48.6929580688473	1
75.593766899027	61.7059245194496	1
-41.4710315240569	-89.0436336306693	1
2.18718036172012	38.4685015560338	1
-57.7055108693063	78.2922544936147	1
-98.5553982505122	93.6840894594368	1
-27.5672993178519	-64.3643911462791	1
-17.4764474512263	86.3849971453019	1
-92.5126555431699	36.8675913392235	1
-36.6064178519033	-24.6601799763139	1
-17.1156576011154	73.6200216288678	1
54.0256199086328	95.6497076724958	1
-97.8617448487086	-54.5422309939513	1
-74.5920093725256	-55.9642448609875	1
-28.3371494579594	-94.5517915205322	1
49.7015290760188	-75.8641058736761	1
59.796519682206	25.7958315823618	1
-31.8494363070749	44.0232456482712	1
-53.793622372932	-90.96367167232	1
30.7375416416092	79.4584743011956	1
-78.4440854017462	-16.4515946790991	1
8.47989605901651	-51.961632587095	1
37.5183937823155	-36.3476692684496	1
63.6415667545095	-78.9997265606807	1
74.2397151818996	51.1117633661743	1
-73.2155049273141	48.0635609838388	1
-74.2996198281448	-7.183912384198	1
-58.1953336981611	-22.2084225287723	1
22.4635545678267	5.52056402204057	1
97.9549637883428	38.6028949354354	1
94.0886231569599	-16.8537723338547	1
20.6133922502948	-57.5097752915515	1
27.7191665196459	-41.6049659937361	1
59.2304220710113	-46.8179495272317	1
-45.31652562547	-39.0534795537343	1
4.82936464393411	0.0522264884081665	1
-74.4400865149435	61.010176859687	1
-60.4010134245311	68.6099121085286	1
