center_1	center_2	radii
13.688303463584	17.8477680433555	1
3.88907620091436	12.590471318069	1
35.4003317522798	7.37748778457336	1
21.8492522831413	15.2054933510714	1
5.83224569391276	8.46984645031826	1
22.551121474114	19.8889422372201	1
29.3220355516043	23.812255212683	1
26.9308803510002	21.6970395707065	1
41.0940046779294	3.90247282224106	1
5.60329557117516	35.1188910878811	1
24.2259615248829	18.1272274800906	1
37.8027145496443	37.8146116334746	1
22.2354833807754	6.85662125673956	1
5.80969287066506	3.50578379240606	1
5.28865426756126	15.0537862124836	1
25.3444326007605	15.5242884308381	1
2.74639003638686	24.6492113381758	1
8.36621838483276	24.3574639656204	1
29.8491988585036	12.9666383187964	1
34.0670314524365	17.317071470117	1
7.50424074841336	6.64760631205156	1
33.165630366236	12.8155149206543	1
38.1842578795606	2.16561382334726	1
4.42709807417067	32.0221055163647	1
19.1474757575121	30.8696807247992	1
3.05088207300706	7.42276411533616	1
1.12875370870997	37.1998259727856	1
22.9028763516204	10.1993920366772	1
7.63091939437616	36.2173326064985	1
13.1683899816004	20.8643844289832	1
