center_1	center_2	radii
12.1615753495681	19.219459316727	1
26.1387389545194	25.1243333218719	1
16.9756434896109	11.2996008970512	1
19.5713354739764	5.3294925849806	1
8.05482709228029	2.53295844412717	1
15.3044517971106	14.2545023161446	1
29.8704649511389	14.0372354640149	1
0.86247860136039	19.0324895891186	1
9.72226975912889	24.4454017408503	1
5.46656090048419	21.7094629423886	1
8.00271307547799	15.6817023960033	1
28.5863080324317	22.4468457269072	1
5.09412566466389	18.7642986427371	1
27.4540590346853	0.300425638452184	1
11.7944296660995	26.7408569387883	1
9.78434666068449	21.0417535983185	1
30.460350670073	16.4937602038345	1
31.8776304797539	27.5245188878018	1
17.1979860854564	16.6471579276208	1
27.9009628533199	19.7439916656377	1
26.1559016621701	18.2227519558275	1
16.7818689639107	3.71873824485625	1
24.8003585373304	22.6369338879856	1
