center_1	center_2	radii
29.4227582262458	10.4611446748362	1
11.222526783924	21.1983377170517	1
29.4474126724418	24.8278246882068	1
20.2370169256071	16.8613425097168	1
21.7161896565674	10.2800131301146	1
8.61347009595026	3.03272384409552	1
8.24797456686775	21.2655853140361	1
20.3490002123986	22.2559683445248	1
22.2013153896793	30.921712026527	1
4.67577117662606	11.7434203411681	1
16.379442420912	4.90734347428316	1
26.3255665627678	30.2031057155105	1
10.0572296892995	23.8674533432856	1
27.2317591986183	22.0042971732804	1
5.89952104208916	9.44430708957512	1
24.2491277605486	3.0807013633354	1
29.9604993517982	30.720871241576	1
13.7776970464396	27.1958853546176	1
10.3817546705765	26.8399108470427	1
8.25117617069345	25.8621892193683	1
14.0603652136085	21.7274227747114	1
