center_1	center_2	radii
12.0412127502947	3.75356788681535	1
6.83810962655	3.72501919459545	1
14.6153909182372	28.7405635396244	1
27.6827615728102	41.4469631428643	1
10.0485716489176	35.9786256092319	1
22.2876213166057	32.8830353319204	1
19.429772391882	35.5662552547191	1
36.9090586037494	36.2946895576651	1
2.2982830574601	18.7481096953571	1
4.82583831520899	12.1303925819696	1
0.769026065401854	16.3093759330082	1
6.27252099821731	41.407365312553	1
39.4524675620888	23.8822104374423	1
24.8771301593633	28.2688437125502	1
34.6525928948902	16.8498528968998	1
28.9514566592482	16.5672904509517	1
24.1770994181684	31.5905891100235	1
12.3893722414284	29.1181691008427	1
3.85611508176372	27.6705554869903	1
13.8254804674851	34.5830645970847	1
24.2986664123504	39.3580320722458	1
19.5062699702247	10.6374716742825	1
11.9965238156527	37.7611692580337	1
35.0088112780124	23.7401230959328	1
31.7956873601019	6.38017314719445	1
37.4155157085478	6.08842577463905	1
41.5560995287734	33.1407323846919	1
33.4763953978857	13.7530673253834	1
18.562480914693	17.3387264460861	1
30.178051032425	18.9307877818043	1
25.4080709822978	33.873895565116	1
36.6802167180912	17.9482944155172	1
